         144609954 function calls (139088277 primitive calls) in 182.004 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3   93.363   31.121   93.363   31.121 {pandas._libs.window.roll_window}
  3680296   11.361    0.000   58.677    0.000 base.py:2454(get_value)
  3680296    5.701    0.000   66.469    0.000 series.py:598(__getitem__)
  3680344    5.586    0.000   13.016    0.000 base.py:1303(_convert_scalar_indexer)
11044034/11044026    4.445    0.000   10.331    0.000 {getattr}
  3680344    4.074    0.000    8.219    0.000 internals.py:4224(get_values)
  7360693    3.938    0.000   13.759    0.000 {pandas._libs.lib.values_from_object}
  3680296    3.037    0.000    3.037    0.000 {method 'get_value' of 'pandas._libs.index.IndexEngine' objects}
        1    2.980    2.980   82.647   82.647 {pandas._libs.lib.reduce}
  9225218    2.969    0.000    5.081    0.000 {isinstance}
11052024/5530477    2.871    0.000    4.783    0.000 {len}
  3680608    2.730    0.000    4.560    0.000 internals.py:4194(dtype)
 11961565    2.698    0.000    2.698    0.000 internals.py:4124(_block)
  3680489    2.688    0.000    4.216    0.000 internals.py:4221(internal_values)
       93    2.615    0.028    2.615    0.028 {pandas._libs.tslib.ints_to_pydatetime}
   920074    2.499    0.000   71.409    0.000 clearsky_temperature.py:87(<lambda>)
   920074    2.257    0.000    2.441    0.000 clearsky_temperature.py:114(_get_temperature)
  3680608    2.041    0.000    6.601    0.000 series.py:331(dtype)
   920270    2.029    0.000    6.524    0.000 series.py:284(_set_axis)
  5521246    1.912    0.000    2.493    0.000 base.py:528(__len__)
  3681935    1.639    0.000    2.111    0.000 generic.py:7(_check)
  3680489    1.627    0.000    5.843    0.000 series.py:384(_values)
  3680344    1.603    0.000    9.822    0.000 series.py:389(get_values)
  3680344    1.570    0.000    2.745    0.000 internals.py:169(to_dense)
   920074    1.320    0.000    3.363    0.000 internals.py:2828(set_axis)
  3680496    1.306    0.000    1.633    0.000 common.py:435(_apply_if_callable)
  3680778    1.175    0.000    1.175    0.000 {method 'view' of 'numpy.ndarray' objects}
  3680695    0.976    0.000    0.976    0.000 internals.py:303(dtype)
        1    0.949    0.949  181.994  181.994 clearsky_temperature.py:13(get_clearsky_tamb)
   920342    0.931    0.000    1.508    0.000 series.py:324(name)
  1840439    0.876    0.000    1.099    0.000 base.py:3999(_ensure_index)
  3680489    0.698    0.000    0.698    0.000 internals.py:154(internal_values)
3680790/3680766    0.618    0.000    0.618    0.000 {numpy.core.multiarray.array}
   920270    0.542    0.000    0.542    0.000 series.py:310(_set_subtyp)
   920074    0.471    0.000    0.863    0.000 {method 'utcoffset' of 'datetime.datetime' objects}
   920244    0.459    0.000    0.577    0.000 inference.py:364(is_hashable)
  3680822    0.458    0.000    0.458    0.000 {pandas._libs.lib.isscalar}
  3680406    0.425    0.000    0.425    0.000 {pandas._libs.lib.is_float}
   921514    0.393    0.000    0.393    0.000 tzinfo.py:382(utcoffset)
  3680496    0.326    0.000    0.326    0.000 {callable}
   920075    0.244    0.000    2.859    0.000 datetimes.py:1162(__iter__)
   920074    0.217    0.000    0.217    0.000 clearsky_temperature.py:83(<lambda>)
   920074    0.203    0.000    0.203    0.000 {method 'total_seconds' of 'datetime.timedelta' objects}
   920074    0.185    0.000    0.185    0.000 {math.cos}
   920459    0.118    0.000    0.118    0.000 {hash}
        3    0.110    0.037    0.110    0.037 {pandas._libs.tslib.get_date_field}
       81    0.093    0.001    0.093    0.001 {method 'copy' of 'numpy.ndarray' objects}
        1    0.065    0.065    0.065    0.065 {gc.collect}
        4    0.061    0.015    0.103    0.026 internals.py:4530(_merge_blocks)
        5    0.058    0.012    0.059    0.012 {pandas._libs.tslib.tz_convert}
       25    0.047    0.002    0.047    0.002 {pandas._libs.lib.maybe_convert_objects}
       75    0.042    0.001    0.042    0.001 {numpy.core.multiarray.concatenate}
       74    0.036    0.000    0.046    0.001 dataset.py:389(__getitem__)
       24    0.024    0.001    0.026    0.001 ops.py:755(na_op)
       24    0.018    0.001    0.018    0.001 internals.py:335(set)
       25    0.014    0.001    0.067    0.003 cast.py:39(maybe_convert_platform)
    26/24    0.014    0.001    0.160    0.007 indexing.py:273(_setitem_with_indexer)
       25    0.013    0.001    0.013    0.001 {method 'nonzero' of 'numpy.ndarray' objects}
       30    0.013    0.000    0.264    0.009 frame.py:2317(__setitem__)
        4    0.012    0.003    0.012    0.003 {pandas._libs.tslib.unique_deltas}
       24    0.011    0.000    0.012    0.001 {pandas._libs.tslib.format_array_from_datetime}
        2    0.011    0.006   93.375   46.688 shape_base.py:23(apply_along_axis)
        1    0.010    0.010  182.004  182.004 <string>:1(<module>)
        2    0.008    0.004    0.008    0.004 {method 'repeat' of 'numpy.ndarray' objects}
       57    0.008    0.000    0.111    0.002 internals.py:3576(_consolidate_inplace)
        1    0.007    0.007    0.007    0.007 {pandas._libs.algos.take_2d_axis1_float64_float64}
      427    0.007    0.000    0.008    0.000 generic.py:3083(__setattr__)
       80    0.006    0.000    0.006    0.000 {pandas._libs.lib.list_to_object_array}
        1    0.006    0.006   93.461   93.461 window.py:676(mean)
     1488    0.006    0.000    0.015    0.000 printing.py:186(as_escaped_unicode)
       88    0.004    0.000    0.004    0.000 {numpy.core.multiarray.arange}
     1488    0.004    0.000    0.024    0.000 printing.py:157(pprint_thing)
     1440    0.004    0.000    0.008    0.000 format.py:2244(just)
        2    0.004    0.002    0.015    0.008 window.py:215(_prep_values)
      370    0.004    0.000    0.004    0.000 dataset.py:209(shape)
       24    0.004    0.000    0.005    0.000 internals.py:672(setitem)
        2    0.004    0.002    0.007    0.003 datetimelike.py:178(_evaluate_compare)
       54    0.003    0.000    0.003    0.000 {pandas._libs.algos.ensure_int64}
     1440    0.003    0.000    0.007    0.000 arrayprint.py:381(wrapper)
        1    0.003    0.003    0.003    0.003 {operator.div}
       24    0.003    0.000    0.033    0.001 format.py:1784(_format_strings)
     4368    0.003    0.000    0.009    0.000 __init__.py:282(strlen)
     1440    0.003    0.000    0.003    0.000 arrayprint.py:399(array2string)
        1    0.003    0.003    0.003    0.003 indexing.py:1981(maybe_convert_indices)
     1440    0.002    0.000    0.027    0.000 format.py:1797(_format)
     1650    0.002    0.000    0.004    0.000 common.py:1722(_get_dtype_type)
      193    0.002    0.000    0.002    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     4368    0.002    0.000    0.012    0.000 format.py:287(len)
     4368    0.002    0.000    0.002    0.000 {_codecs.utf_8_decode}
   147/92    0.002    0.000    0.012    0.000 base.py:152(__new__)
        3    0.002    0.001    0.002    0.001 {method 'astype' of 'numpy.ndarray' objects}
     1491    0.002    0.000    0.003    0.000 inference.py:396(is_sequence)
     3511    0.002    0.000    0.002    0.000 {hasattr}
        1    0.002    0.002   93.455   93.455 window.py:566(_apply_window)
       80    0.002    0.000    0.002    0.000 {numpy.core.multiarray.empty}
        1    0.002    0.002    0.002    0.002 {operator.add}
      196    0.002    0.000    0.013    0.000 series.py:139(__init__)
     4368    0.002    0.000    0.004    0.000 utf_8.py:15(decode)
        1    0.002    0.002    0.015    0.015 internals.py:3990(take)
        2    0.002    0.001    0.002    0.001 {pandas._libs.algos.ensure_float64}
       24    0.002    0.000    0.040    0.002 clearsky_temperature.py:93(_get_pixel_value)
        4    0.002    0.000    0.002    0.000 datetimelike.py:419(_isnan)
     1291    0.002    0.000    0.004    0.000 dtypes.py:84(is_dtype)
     2904    0.001    0.000    0.004    0.000 {method 'decode' of 'unicode' objects}
       24    0.001    0.000    0.016    0.001 format.py:2227(_make_fixed_width)
       96    0.001    0.000    0.002    0.000 printing.py:47(justify)
        1    0.001    0.001    0.001    0.001 {operator.ge}
        2    0.001    0.001    0.001    0.001 base.py:1189(is_monotonic_increasing)
     4392    0.001    0.000    0.001    0.000 {method 'replace' of 'unicode' objects}
       24    0.001    0.000    0.001    0.000 {method 'join' of 'unicode' objects}
        2    0.001    0.001    0.043    0.022 datetimelike.py:315(inferred_freq)
        3    0.001    0.000    0.001    0.000 base.py:1184(is_monotonic)
        1    0.001    0.001    0.001    0.001 {operator.le}
       24    0.001    0.000    0.008    0.000 printing.py:12(adjoin)
     1034    0.001    0.000    0.001    0.000 config.py:561(_get_deprecated_option)
       74    0.001    0.000    0.023    0.000 frame.py:1940(__getitem__)
      517    0.001    0.000    0.003    0.000 config.py:78(_get_single_key)
     1440    0.001    0.000    0.008    0.000 numeric.py:1905(array_str)
     1440    0.001    0.000    0.024    0.000 format.py:1795(<lambda>)
      236    0.001    0.000    0.003    0.000 internals.py:2683(make_block)
      220    0.001    0.000    0.003    0.000 internals.py:4078(__init__)
       75    0.001    0.000    0.001    0.000 cast.py:868(maybe_cast_to_datetime)
        1    0.001    0.001    0.001    0.001 {pandas._libs.lib.maybe_indices_to_slice}
       98    0.001    0.000    0.001    0.000 common.py:1852(pandas_dtype)
       30    0.001    0.000    0.022    0.001 internals.py:3683(set)
       74    0.001    0.000    0.002    0.000 selections.py:248(__getitem__)
      236    0.001    0.000    0.002    0.000 internals.py:102(__init__)
      142    0.001    0.000    0.002    0.000 common.py:353(_asarray_tuplesafe)
      517    0.001    0.000    0.001    0.000 config.py:546(_get_root)
       24    0.001    0.000    0.001    0.000 {pandas._libs.lib.map_infer}
       24    0.001    0.000    0.112    0.005 datetimes.py:1401(get_loc)
     1464    0.001    0.000    0.002    0.000 {method 'decode' of 'str' objects}
       25    0.001    0.000    0.018    0.001 concat.py:215(__init__)
      517    0.001    0.000    0.005    0.000 config.py:96(_get_option)
       35    0.001    0.000    0.002    0.000 internals.py:2876(_rebuild_blknos_and_blklocs)
      143    0.001    0.000    0.001    0.000 base.py:701(_get_attributes_dict)
       74    0.001    0.000    0.001    0.000 selections.py:425(_handle_simple)
     4400    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
       74    0.001    0.000    0.001    0.000 selections.py:145(__init__)
      127    0.001    0.000    0.006    0.000 datetimes.py:568(_simple_new)
       75    0.001    0.000    0.004    0.000 series.py:2894(_sanitize_array)
      144    0.001    0.000    0.003    0.000 dtypes.py:44(__bytes__)
      196    0.001    0.000    0.001    0.000 numeric.py:2667(seterr)
        1    0.001    0.001    0.008    0.008 datetimes.py:410(_generate)
     1539    0.001    0.000    0.001    0.000 {iter}
       48    0.001    0.000    0.041    0.001 internals.py:3013(apply)
       72    0.001    0.000    0.004    0.000 {map}
        6    0.001    0.000    0.001    0.000 {numpy.core.multiarray.zeros}
       30    0.001    0.000    0.118    0.004 frame.py:2505(_sanitize_column)
     2376    0.001    0.000    0.001    0.000 {issubclass}
       48    0.001    0.000    0.001    0.000 {fcntl.ioctl}
      459    0.001    0.000    0.002    0.000 common.py:296(is_datetime64_dtype)
      227    0.001    0.000    0.001    0.000 generic.py:117(__init__)
     1512    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
       24    0.000    0.000    0.002    0.000 format.py:189(_get_footer)
      517    0.000    0.000    0.001    0.000 config.py:602(_warn_if_deprecated)
      268    0.000    0.000    0.000    0.000 generic.py:3067(__getattr__)
       49    0.000    0.000    0.004    0.000 concat.py:25(get_dtype_kinds)
      196    0.000    0.000    0.000    0.000 numeric.py:2767(geterr)
      632    0.000    0.000    0.003    0.000 common.py:475(is_categorical_dtype)
    29/27    0.000    0.000    0.010    0.000 datetimes.py:260(__new__)
      135    0.000    0.000    0.001    0.000 internals.py:2820(shape)
       24    0.000    0.000    0.109    0.005 series.py:974(__unicode__)
       48    0.000    0.000    0.001    0.000 terminal.py:98(ioctl_GWINSZ)
       24    0.000    0.000    0.032    0.001 ops.py:809(wrapper)
       24    0.000    0.000    0.029    0.001 format.py:172(_chk_truncate)
       55    0.000    0.000    0.002    0.000 datetimelike.py:259(__getitem__)
       74    0.000    0.000    0.004    0.000 selections.py:27(select)
      122    0.000    0.000    0.001    0.000 base.py:367(_simple_new)
       49    0.000    0.000    0.001    0.000 internals.py:3612(iget)
       74    0.000    0.000    0.000    0.000 {h5py.h5t.py_create}
     1488    0.000    0.000    0.001    0.000 printing.py:59(_join_unicode)
       48    0.000    0.000    0.127    0.003 indexing.py:1133(_convert_to_indexer)
      238    0.000    0.000    0.001    0.000 internals.py:222(mgr_locs)
      166    0.000    0.000    0.000    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
      388    0.000    0.000    0.001    0.000 series.py:320(name)
       24    0.000    0.000    0.076    0.003 format.py:243(to_string)
      291    0.000    0.000    0.001    0.000 common.py:84(is_object_dtype)
      517    0.000    0.000    0.005    0.000 config.py:223(__call__)
     1515    0.000    0.000    0.000    0.000 {pandas._libs.lib.checknull}
      517    0.000    0.000    0.001    0.000 config.py:589(_translate_key)
      498    0.000    0.000    0.001    0.000 common.py:333(is_datetime64tz_dtype)
      146    0.000    0.000    0.001    0.000 common.py:182(is_bool_indexer)
      180    0.000    0.000    0.001    0.000 base.py:2435(get_loc)
      174    0.000    0.000    0.001    0.000 dtypes.py:489(is_dtype)
       24    0.000    0.000    0.050    0.002 format.py:1726(format_array)
       24    0.000    0.000    0.113    0.005 indexing.py:495(setter)
       85    0.000    0.000    0.000    0.000 {pandas._libs.lib.infer_dtype}
       26    0.000    0.000    0.001    0.000 missing.py:119(_isnull_ndarraylike)
       97    0.000    0.000    0.001    0.000 base.py:1672(__getitem__)
      101    0.000    0.000    0.000    0.000 dtypes.py:183(__new__)
     1488    0.000    0.000    0.000    0.000 {method 'ljust' of 'str' objects}
       24    0.000    0.000    0.127    0.005 indexing.py:210(_convert_tuple)
      197    0.000    0.000    0.000    0.000 generic.py:355(_get_axis_name)
      517    0.000    0.000    0.000    0.000 config.py:528(_select_options)
       54    0.000    0.000    0.000    0.000 offsets.py:495(freqstr)
       25    0.000    0.000    0.017    0.001 concat.py:356(get_result)
      235    0.000    0.000    0.001    0.000 numeric.py:463(asarray)
      145    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       25    0.000    0.000    0.003    0.000 internals.py:4317(form_blocks)
       76    0.000    0.000    0.001    0.000 internals.py:214(make_block_same_class)
       74    0.000    0.000    0.001    0.000 selections.py:242(__init__)
      110    0.000    0.000    0.000    0.000 base.py:1638(__contains__)
      273    0.000    0.000    0.000    0.000 {min}
       74    0.000    0.000    0.000    0.000 selections.py:402(_expand_ellipsis)
       73    0.000    0.000    0.005    0.000 generic.py:1640(_get_item_cache)
      317    0.000    0.000    0.001    0.000 common.py:222(is_datetimetz)
        4    0.000    0.000    0.000    0.000 group.py:157(__getitem__)
       30    0.000    0.000    0.002    0.000 datetimes.py:700(parse_time_string)
       37    0.000    0.000    0.000    0.000 shape_base.py:63(atleast_2d)
     1589    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       24    0.000    0.000    0.288    0.012 indexing.py:173(__setitem__)
      278    0.000    0.000    0.000    0.000 base.py:559(values)
      518    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       24    0.000    0.000    0.001    0.000 terminal.py:23(get_terminal_size)
       24    0.000    0.000    0.106    0.004 series.py:993(to_string)
       25    0.000    0.000    0.006    0.000 base.py:1706(append)
        1    0.000    0.000    0.000    0.000 files.py:72(make_fid)
       48    0.000    0.000    0.000    0.000 internals.py:4665(_get_blkno_placements)
      253    0.000    0.000    0.001    0.000 common.py:371(is_timedelta64_dtype)
       96    0.000    0.000    0.000    0.000 base.py:1351(_convert_slice_indexer)
     1440    0.000    0.000    0.000    0.000 {method 'ljust' of 'unicode' objects}
      273    0.000    0.000    0.000    0.000 base.py:522(_reset_identity)
       24    0.000    0.000    0.002    0.000 concat.py:390(_concat_datetimetz)
       24    0.000    0.000    0.014    0.001 datetimes.py:834(_format_native_types)
       28    0.000    0.000    0.000    0.000 parser.py:68(get_token)
     1440    0.000    0.000    0.000    0.000 {method 'item' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 windows.py:1159(gaussian)
      124    0.000    0.000    0.000    0.000 dtypes.py:367(is_dtype)
      110    0.000    0.000    0.002    0.000 common.py:1549(is_extension_type)
       24    0.000    0.000    0.110    0.005 base.py:54(__bytes__)
     1440    0.000    0.000    0.000    0.000 {method 'rjust' of 'unicode' objects}
       24    0.000    0.000    0.014    0.001 datetimelike.py:246(_format_with_header)
      151    0.000    0.000    0.001    0.000 dtypes.py:145(construct_from_string)
       48    0.000    0.000    0.003    0.000 internals.py:4178(get_slice)
     1466    0.000    0.000    0.000    0.000 {id}
        6    0.000    0.000    0.002    0.000 {pandas._libs.tslib.parse_datetime_string_with_reso}
       49    0.000    0.000    0.002    0.000 internals.py:3583(get)
       31    0.000    0.000    0.046    0.001 indexing.py:1891(convert_to_index_sliceable)
       31    0.000    0.000    0.011    0.000 frame.py:261(__init__)
      174    0.000    0.000    0.000    0.000 common.py:1456(is_float_dtype)
      145    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      197    0.000    0.000    0.001    0.000 generic.py:368(_get_axis)
       74    0.000    0.000    0.001    0.000 fromnumeric.py:1837(product)
       54    0.000    0.000    0.001    0.000 base.py:404(_shallow_copy)
       30    0.000    0.000    0.022    0.001 generic.py:1758(_set_item)
       30    0.000    0.000    0.205    0.007 frame.py:2385(_set_item)
      101    0.000    0.000    0.001    0.000 missing.py:47(_isnull_new)
      173    0.000    0.000    0.000    0.000 {zip}
